nr,video_id,titel,dauer_min,url
1,XWsJwENtXyU,"Give Me 15 Minutes, I’ll Give You 10,000 Hours of Agency Knowledge",15.8,https://www.youtube.com/watch?v=XWsJwENtXyU
2,Ryj3Iywg1SQ,How I Would Build a $6.4M/Year Agency (If I Had to Start Over),15.9,https://www.youtube.com/watch?v=Ryj3Iywg1SQ
3,cAGEGF0meNA,$180K/mo Agency and Only Keeping 20% - Here's The Fix,78.9,https://www.youtube.com/watch?v=cAGEGF0meNA
4,VDEbrYSHIpo,Building a $100K/Month Agency Offer From SCRATCH (Full Guide),28.9,https://www.youtube.com/watch?v=VDEbrYSHIpo
5,MOM0FqF2njE,From $17.5K to $180K/mo | How This Agency Scaled in 12 Months,16.2,https://www.youtube.com/watch?v=MOM0FqF2njE
6,6Pv2dx4sEag,How They Scaled Their YouTube Agency To $300K/Month,60.5,https://www.youtube.com/watch?v=6Pv2dx4sEag
7,1ZkSsNQyUiM,How This Agency Owner Scaled To $40K/Mo,41.1,https://www.youtube.com/watch?v=1ZkSsNQyUiM
8,xmQ0jHBtk2c,(Leaked Mastermind Footage) Agency Owner Reveals How He Scaled From $10K/Mo To $50K/Mo,47.9,https://www.youtube.com/watch?v=xmQ0jHBtk2c
9,Bd3ZFNZOruQ,How He Scaled His Content Agency From $10K/Mo To $100K/Mo In 1 Year,73.0,https://www.youtube.com/watch?v=Bd3ZFNZOruQ
10,bokLFVIDAas,The Exact Video Retainer Model I Used To Go From Project Work To $100K+Month,15.4,https://www.youtube.com/watch?v=bokLFVIDAas
11,ig-ngoBT61w,How I Scaled From $10K to $50Kmo — Here Are the 5 Things That Changed,20.3,https://www.youtube.com/watch?v=ig-ngoBT61w
12,xdX-BDOSw28,How I Run A $5M Agency In 4 Hrs/Day (Full Ops Breakdown),22.8,https://www.youtube.com/watch?v=xdX-BDOSw28
13,fDzvgh6lRrU,Watch Me Live Scale This $10K/Mo Social Media Marketing Agency,57.8,https://www.youtube.com/watch?v=fDzvgh6lRrU
14,Zc7lHDG6A5Q,I Almost Quit My Agency — Here's What Changed Everything,12.0,https://www.youtube.com/watch?v=Zc7lHDG6A5Q
15,iQT-5bnJlY4,How To Hire Your First AI Employee In 2026 (Step By Step),11.5,https://www.youtube.com/watch?v=iQT-5bnJlY4
16,Cc39Z3yV0nU,"From Chaotic ""Yes Man"" to $20K/mo Agency Owner in 4 Months",18.1,https://www.youtube.com/watch?v=Cc39Z3yV0nU
17,IXyR300yMDE,How AI Runs My $5M/Yr Agency For Me,31.6,https://www.youtube.com/watch?v=IXyR300yMDE
18,-TGxrN1qliw,How I Sell $5K+ Mo Video Retainers to Local Businesses,14.2,https://www.youtube.com/watch?v=-TGxrN1qliw
19,_pn6jL4u6Z4,How to Prove ROI to Agency Clients So They Never Want to Leave,14.2,https://www.youtube.com/watch?v=_pn6jL4u6Z4
20,u2qqCg4358c,How I Built A Player Company Culture At My $5M Agency,13.7,https://www.youtube.com/watch?v=u2qqCg4358c
21,1qUnlkypA0Y,How To Raise Your Agency Prices Without Losing Clients,17.3,https://www.youtube.com/watch?v=1qUnlkypA0Y
22,dSjwo9q_JKw,When to Fire an Agency Client (5 Signs It's Time),15.3,https://www.youtube.com/watch?v=dSjwo9q_JKw
23,s2rBk6Tkumc,From $4K/Mo to $16K/Mo - How He 4X'd His YouTube Agency,15.9,https://www.youtube.com/watch?v=s2rBk6Tkumc
24,IF0lQNt2eLM,How we generated 7 figures from Instagram,30.5,https://www.youtube.com/watch?v=IF0lQNt2eLM
25,41DYjRTgSLY,How This Videographer Built a $30K/mo Agency That Runs WITHOUT Him,17.1,https://www.youtube.com/watch?v=41DYjRTgSLY
26,b58B_0c4xJg,The Best Funnel for Video Agencies & Videographers,26.5,https://www.youtube.com/watch?v=b58B_0c4xJg
27,d7vDXgg1SWo,How He Doubled His Agency to $25K/mo in 4 Months,23.4,https://www.youtube.com/watch?v=d7vDXgg1SWo
28,LWYmO5Df-TU,"I Tracked 10 Metrics in 723 Agencies, Here’s What Works",21.6,https://www.youtube.com/watch?v=LWYmO5Df-TU
29,OvxkwBo1_24,How I Fully Automated My Agency With 5 AI Employees,24.4,https://www.youtube.com/watch?v=OvxkwBo1_24
30,HoorDJNAzi4,How She Signed Her First Client in 30 Days (Without Experience),14.9,https://www.youtube.com/watch?v=HoorDJNAzi4
31,dPYgTlksigY,How To Transition From Video Editor To Agency Owner,18.1,https://www.youtube.com/watch?v=dPYgTlksigY
32,ReAwGno27qg,How I Use AI To Run A $5M Agency,20.2,https://www.youtube.com/watch?v=ReAwGno27qg
33,TP-FZhEWFjg,How I Hired A Creative Strategist For My $5M Agency (Step By Step),12.0,https://www.youtube.com/watch?v=TP-FZhEWFjg
34,czSpbdcly4w,How I Hired My First Videographer For My $5M Video Agency,13.7,https://www.youtube.com/watch?v=czSpbdcly4w
35,Y0U0NISLaP0,The 7 Tracking Systems I Used To Scale My Agency Past $100K/month,24.1,https://www.youtube.com/watch?v=Y0U0NISLaP0
36,Yup0x3gjEO0,Scaling From Solo Videographer To Multi 6 Figure Agency,29.4,https://www.youtube.com/watch?v=Yup0x3gjEO0
37,iXATbS0lINU,How Tyler Went From $15K/Month to $40K/Month (While Working Less),35.7,https://www.youtube.com/watch?v=iXATbS0lINU
38,yC3_wg-ssbY,How I Scaled My Video Agency Past $100KMonth Without Being On Every Shoot,19.9,https://www.youtube.com/watch?v=yC3_wg-ssbY
39,dfKwWb7EnjI,How to Pay Video Editors and Videographers Per Client,12.9,https://www.youtube.com/watch?v=dfKwWb7EnjI
40,KfEgAagyjF4,How to Build a Video Editing Team From Scratch,12.6,https://www.youtube.com/watch?v=KfEgAagyjF4
41,hMcMa2SI1cA,Helping An Agency Owner Go From $40-50K Month to $100K Month,15.1,https://www.youtube.com/watch?v=hMcMa2SI1cA
42,7HmJmFo4cyU,How This Agency Owner Doubled Her Prices by Doing LESS,17.8,https://www.youtube.com/watch?v=7HmJmFo4cyU
43,mTxbsvFMCFY,How to stop being the bottleneck in your video business,8.8,https://www.youtube.com/watch?v=mTxbsvFMCFY
44,U6hgYmZGm8c,How to Price Video Retainer Packages (Real Numbers),20.1,https://www.youtube.com/watch?v=U6hgYmZGm8c
45,mnB0cYJkx-A,Helping An Agency Owner Go From $30K/Month to $60K/Month,12.8,https://www.youtube.com/watch?v=mnB0cYJkx-A
46,PD4Blui3gOA,retainer vs project based pricing for video agencies,12.5,https://www.youtube.com/watch?v=PD4Blui3gOA
47,SL-aJmXkL-k,"From 80-Hour Workweek ""Grind"" To A Scalable Agency",22.6,https://www.youtube.com/watch?v=SL-aJmXkL-k
48,a6VYG8jV-xk,how to price video production retainer packages,11.8,https://www.youtube.com/watch?v=a6VYG8jV-xk
49,PP0m5fIZX58,From 60-Hour Weeks to True CEO: How She Automated Her Agency,16.7,https://www.youtube.com/watch?v=PP0m5fIZX58
50,2a8AdacVe58,the truth about running a 400K/month agency (not what you think),5.8,https://www.youtube.com/watch?v=2a8AdacVe58
51,_D5utdwbBfI,Scope Creep For Video Agencies (And How To Prevent It),10.5,https://www.youtube.com/watch?v=_D5utdwbBfI
52,8Tw-9OtevVQ,my video editor onboarding process for agencies (copy me),9.7,https://www.youtube.com/watch?v=8Tw-9OtevVQ
53,kfqLeDTjtqo,How Ian Doubled His Agency Profit Margins (30% to 66% Profit in 4 Months),17.4,https://www.youtube.com/watch?v=kfqLeDTjtqo
54,BDZnjBfoV0s,"i rewired my brain, then scaled my agency to $5M at 29",9.9,https://www.youtube.com/watch?v=BDZnjBfoV0s
55,_LWAVSQw2no,"""I'm working 16 hours per day in my agency""",15.4,https://www.youtube.com/watch?v=_LWAVSQw2no
56,-Epdh65xclQ,How She Went From Solo Operator To CEO (Social Media Agency),15.8,https://www.youtube.com/watch?v=-Epdh65xclQ
57,ecqocK8bhHw,"I Studied 650 Agencies, Here’s How To ACTUALLY Grow Your Agency",35.6,https://www.youtube.com/watch?v=ecqocK8bhHw
58,zgka6p0rU4U,How This Agency Owner Did More in 6 WEEKS Than an Entire Year (And Working Less),21.4,https://www.youtube.com/watch?v=zgka6p0rU4U
59,wv0-Urye72A,Helping An Agency Owner Go From $10K/Month to $30K/Month,10.7,https://www.youtube.com/watch?v=wv0-Urye72A
60,mRPFm-ze_nA,the EXACT video production workflow I used for my 5M agency,5.7,https://www.youtube.com/watch?v=mRPFm-ze_nA
61,jav79PMk1Hs,Who to hire FIRST in your video agency,5.9,https://www.youtube.com/watch?v=jav79PMk1Hs
62,EbVsuIfUqJY,How Tony Took His Video Agency From $2.5K/mo to $15K/mo In Under 3 Months,16.0,https://www.youtube.com/watch?v=EbVsuIfUqJY
63,TRX0KO8NHX8,Agency stuck in fulfillment?,9.1,https://www.youtube.com/watch?v=TRX0KO8NHX8
64,-IsDXPDGe3s,How I Grew My Video Agency From $0- $225K/Month,27.2,https://www.youtube.com/watch?v=-IsDXPDGe3s
65,4rLXd-TSa7Q,How Jake Scaled His Agency From $7K/Mo to $21K/Mo,14.6,https://www.youtube.com/watch?v=4rLXd-TSa7Q
66,iMdUQ5b8HQU,How I Manage 87 Clients On Notion (Copy My Template),23.4,https://www.youtube.com/watch?v=iMdUQ5b8HQU
67,hrCP0vVDy_8,Javier & Leslie Went From $0-$10K/month With Their Video Agency,15.7,https://www.youtube.com/watch?v=hrCP0vVDy_8
68,cEPNPs0nHfw,4 Ways I Use Notion To Automate My $5M Agency,25.1,https://www.youtube.com/watch?v=cEPNPs0nHfw
69,sMXoCitR4uI,How AJ Built A Client Getting System For His Video Agency,17.7,https://www.youtube.com/watch?v=sMXoCitR4uI
70,iH8tIRLiswg,Building A $100K/Month Agency For An Agency Owner In 28 Minutes,28.2,https://www.youtube.com/watch?v=iH8tIRLiswg
71,kRFqQ6-yurc,The 4 Levels Of Building A $5M Agency,29.3,https://www.youtube.com/watch?v=kRFqQ6-yurc
72,JttWv-YndBw,"""I just lost the biggest client in my agency, now what do I do?""",9.1,https://www.youtube.com/watch?v=JttWv-YndBw
73,NSiWAT_Uijo,5 Hiring Mistakes That Kill Agencies at $10K-30K/Month,9.8,https://www.youtube.com/watch?v=NSiWAT_Uijo
74,P_01ldB1Bvk,How Marlo Went From $34K/mo to $80K/mo In Under 6 Months,20.8,https://www.youtube.com/watch?v=P_01ldB1Bvk
75,ysM1JJ2QgQI,How To Remove Yourself From Day To Day Agency Fulfillment,10.8,https://www.youtube.com/watch?v=ysM1JJ2QgQI
76,87POr6yZRvg,Notion vs ClickUp: What's Best For Agencies?,21.8,https://www.youtube.com/watch?v=87POr6yZRvg
77,amUEjRARz-A,How I Added $116K In Video Retainers For My Agency,25.1,https://www.youtube.com/watch?v=amUEjRARz-A
78,-AILv8Y60mM,How Justin Scaled His Agency From $10-15K/Mo to $50K/Mo,23.1,https://www.youtube.com/watch?v=-AILv8Y60mM
79,hSv4KlwORBo,I Taught 12 Agency Owners How to Scale (Tulum Mastermind Vlog),9.2,https://www.youtube.com/watch?v=hSv4KlwORBo
80,6VeJfIaoWlQ,How to Build Systems (so your business runs without you),21.6,https://www.youtube.com/watch?v=6VeJfIaoWlQ
81,eUrfMvPUGGU,How Albi Scaled His Agency From $12K/Mo to $40K/Mo,22.7,https://www.youtube.com/watch?v=eUrfMvPUGGU
